num,route_length
524,1393.51
321,3528.18
498,2424.13
366,4163.68
393,4693.48
439,3009.7
341,4132.65
512,2044.9
496,2323.53
500,2203.75
420,3446.18
530,1817.9
497,2046.38
454,2685.45
254,5032.01
464,3368.29
105,9581.29
483,2790.37
421,4219.78
451,3138.18
443,4149.13
232,6417.98
417,4451.51
279,6433.17
371,4920.87
489,2596.58
502,2598.37
488,3220.47
428,4225.9
594,948.57
271,6533.12
436,3608.89
446,4126.85
375,4566.18
513,3541.85
517,2211.8
441,4017.48
508,3076.62
427,4542.32
499,3819.0
397,5732.48
478,3191.69
323,5688.98
453,5470.87
259,5585.86
359,3800.26
345,3249.92
437,4905.62
509,3603.21
458,4390.65
514,3466.97
531,3431.78
410,5945.94
552,2519.94
516,3005.26
401,4567.47
490,3816.69
274,6983.17
534,6434.17
202,6274.56
476,3692.04
402,6674.2
617,1401.83
510,3883.26
528,3361.71
518,3698.13
405,6363.86
545,3508.42
520,4338.36
526,4312.74
546,3559.18
479,4607.87
603,1563.48
631,2023.0
533,3100.65
591,2960.9
600,2557.82
625,2321.76
255,5133.63
611,2751.34
400,5012.0
79,10602.93
586,3461.85
614,2818.96
639,2106.21
665,1676.02
550,3905.89
670,1687.01
475,4517.61
565,2853.43
577,3556.83
596,3094.12
700,1076.39
220,8504.58
208,8958.53
376,6104.16
535,3461.96
248,8861.44
555,4676.99
598,3934.77
601,2394.75
684,1640.43
643,2520.73
523,4085.63
651,2434.24
630,2905.36
297,12540.7
607,3134.47
495,4887.36
567,4514.28
604,3097.12
592,4039.78
593,3444.13
540,5540.62
571,4147.64
626,3131.65
557,4429.53
682,1954.21
677,2074.26
666,2465.5
610,3866.84
663,2719.61
653,2435.89
354,5216.88
661,2739.7
671,2711.39
618,2590.78
90,11195.5
673,2406.81
711,1894.71
652,2953.75
655,2715.49
612,2873.5
621,4221.97
705,1880.85
293,5880.75
649,2727.86
620,4269.9
641,3510.37
435,5997.54
622,3957.43
681,2891.76
646,2348.25
743,1377.11
538,4854.68
559,4944.73
718,2368.55
624,4203.51
566,4044.86
597,3494.08
638,3600.23
676,3116.99
549,5424.27
585,4900.15
556,4669.16
627,3769.88
605,3341.45
515,5963.87
679,3122.58
736,2033.13
702,2695.83
715,2794.63
692,3304.45
578,5043.03
595,5365.01
562,4604.62
613,4622.21
619,3929.06
452,5730.4
774,1365.3
742,2326.54
456,6859.26
719,2489.98
747,2258.41
749,2198.55
751,2219.87
730,3227.78
539,6345.32
582,4920.72
648,3978.6
656,4517.39
635,4812.01
721,2710.09
687,4049.69
706,3428.5
644,3033.04
387,7251.99
642,5011.63
615,5306.19
683,3813.21
459,5738.47
551,6024.8
608,5064.38
650,4662.65
725,2732.02
732,3141.01
675,4394.34
821,1238.7
738,3276.98
664,4480.84
695,3983.28
849,792.58
637,3739.13
657,4456.6
709,3077.73
573,5924.45
558,6617.14
602,5198.02
717,4209.65
806,1952.71
659,4089.71
729,3653.58
756,2812.41
761,3311.25
803,1898.18
544,7363.14
690,3821.42
727,3123.52
724,4062.55
797,2308.82
616,5490.87
581,6337.42
696,4656.54
776,2895.18
750,3341.5
780,2803.4
735,3576.98
784,2853.37
662,4660.74
698,4653.8
707,4246.89
723,4080.03
763,3094.41
733,4592.89
777,2912.93
701,4281.76
737,4077.61
703,4142.72
779,2969.91
689,5232.36
851,1698.99
796,2475.82
654,4367.17
714,3642.63
817,2777.1
767,4155.62
854,1930.59
753,4094.72
787,3106.67
680,5397.62
720,4725.38
873,1707.41
868,1588.22
829,2600.31
813,2613.98
848,2770.93
726,4761.76
708,5427.33
783,3301.13
678,4923.56
794,3691.7
838,2799.68
865,2651.83
824,3302.21
645,5615.42
884,2018.97
765,5027.14
688,7005.61
758,4987.62
972,729.27
791,3894.55
816,6408.33
928,1962.0
789,4865.4
952,1745.32
788,4333.99
882,3821.21
808,5181.19
907,3262.58
942,1732.0
814,4513.68
876,3083.02
861,3794.57
877,2747.8
903,3420.07
836,3714.33
977,1859.0
960,2439.84
805,4393.15
841,4819.76
908,3084.72
845,4973.79
902,3460.22
938,2747.9
951,2727.57
897,2650.85
926,3221.11
864,5038.55
900,2911.76
844,4719.09
924,2947.43
822,5930.72
944,3213.25
936,3438.02
906,4048.23
886,3262.22
965,2731.15
918,3160.53
959,3046.26
939,2869.69
752,5524.7
904,3856.69
894,4607.14
879,4960.99
969,3272.79
950,3142.35
842,3915.52
862,4351.09
990,2638.4
136,4162.26
958,3244.32
465,2431.01
91,8017.14
922,2789.3
976,2585.27
945,3730.14
962,2844.48
978,2903.08
887,4856.86
975,2919.8
973,3336.98
940,2528.82
913,4597.54
946,3965.25
587,3269.05
187,7200.51
560,5238.52
934,4076.05
911,4260.5
73,5852.05
455,5218.12
846,4462.72
357,4184.97
986,3342.59
898,3843.72
933,3173.08
856,6536.76
989,3721.07
999,3028.47
494,6217.34
982,3099.67
974,3913.92
919,4640.5
909,4630.18
941,2807.39
474,3099.04
923,5182.88
927,4269.99
954,4325.29
932,4494.88
196,4522.8
766,4338.54
979,3649.77
809,10755.1
931,3387.54
85,6156.59
786,3447.67
996,3874.26
477,3340.8
823,4712.98
885,4550.14
947,4934.7
527,4000.31
223,7717.61
315,6314.36
491,4946.41
398,5196.51
905,5338.06
541,6208.32
970,4790.36
739,2096.82
584,4644.65
674,4997.89
883,1864.3
912,4845.25
632,4990.99
769,5609.07
895,6088.53
935,4424.65
875,5544.13
917,4538.16
914,4482.96
744,6094.55
993,4398.82
741,5097.73
949,5455.67
870,4293.85
966,5109.61
633,5131.45
915,4093.51
713,6512.17
487,3924.86
920,5728.35
901,5099.61
964,5711.25
867,4435.15
847,5901.34
874,5433.2
839,4796.89
988,4397.3
929,4968.46
837,7319.86
997,5379.1
957,5480.02
888,5629.92
925,5168.36
828,5761.6
956,5903.92
961,6316.56
992,4738.27
880,5686.38
943,5078.52
921,6233.49
893,6770.18
994,6003.15
991,11136.04
984,5190.19
967,5905.42
872,5928.94
980,6593.04
859,5736.42
985,6753.8
968,7105.15
850,6778.88
995,5930.06
361,5464.86
336,8417.47
381,5336.88
370,7132.3
227,8890.84
372,5867.22
270,8922.74
731,4772.42
532,4609.98
114,11606.79
224,9097.81
799,4118.74
826,4134.23
102,10934.24
795,3460.43
697,5001.66
268,9515.11
899,6775.66
998,13482.33
955,4929.13
832,3960.45
240,10988.9
572,5306.5
206,11313.07
583,7294.91
740,5424.18
830,4332.21
570,8587.86
242,10602.19
590,7710.72
798,4613.6
819,6304.73
647,7053.02
574,6914.87
669,6919.15
853,4483.16
764,6949.67
833,5233.07
953,7500.85
564,8911.47
132,11973.55
200,11700.3
256,12442.62
580,5189.07
335,10533.48
785,5992.53
660,7668.52
69,14338.84
910,8074.3
878,8568.91
579,8639.17
253,11860.39
869,7901.66
916,7555.5
368,10274.8
820,8931.77
365,9555.7
815,6209.39
971,7325.2
237,9852.33
755,6506.8
668,7376.14
937,8900.65
522,8886.04
948,7246.92
782,6363.8
857,10316.2
881,10336.16
609,12851.26
818,10486.85
728,3539.97
412,5790.79
424,5114.96
426,4301.2
503,7018.39
734,6322.76
800,4486.07
588,5568.48
283,5691.09
712,2950.06
481,4952.28
835,2160.41
890,1558.5
286,6256.63
431,3406.16
536,7440.61
963,5608.94
384,3493.45
781,2147.07
704,3883.11
930,2573.93
430,5304.61
373,5609.02
457,5239.19
484,4718.09
334,7609.95
504,4589.61
396,4073.0
342,7411.35
317,6627.1
492,11164.89
411,4322.66
860,3896.73
983,3767.62
344,6115.59
775,3347.76
450,4575.99
